mode,speedup,latency,vbench,quality,semantic,psnr,ssim,lpips
dicache_fixed_0.05,1.00x,658s,0.823744,0.851949,0.710922,-,-,-
dicache_fixed_0.10,1.57x,419s,0.816793,0.851887,0.676418,-,-,-
dicache_fixed_0.15,1.90x,346s,0.824883,0.847806,0.733191,-,-,-
dicache_fixed_0.20,2.30x,286s,0.814471,0.842295,0.703178,-,-,-
dicache_fixed_0.25,2.63x,250s,0.805960,0.841759,0.662766,-,-,-
dicache_fixed_0.30,2.91x,226s,0.807700,0.842601,0.668097,-,-,-
dicache_fixed_0.35,3.25x,202s,0.763163,0.806529,0.589697,-,-,-
dicache_fixed_0.40,3.53x,186s,0.749989,0.784913,0.610294,-,-,-
dicache_fixed_0.60,4.00x,164s,0.635090,0.697850,0.384051,-,-,-
