Video,subject_consistency,background_consistency,temporal_flickering,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality,temporal_style,overall_consistency
fixed_0.1,0.9682188467122614,0.9695148468017578,0.9833035786946615,0.9937271984842944,1.0,0.6781263947486877,0.5361451830605204,0.017649520188570023,0.017649520188570023
fixed_0.2,0.9703007219359279,0.9727764129638672,0.9857170759462843,0.9938307553078294,1.0,0.7288357615470886,0.5419792775590291,0.023179255425930023,0.023179255425930023
fixed_0.3,0.970147673971951,0.9692459106445312,0.9878898994595396,0.9944816460878929,1.0,0.6856804490089417,0.4919946061363516,0.03241438418626785,0.03241438418626785
fixed_0.4,0.9501654384657741,0.9524173736572266,0.9893526301664465,0.994171252829378,1.0,0.6622862815856934,0.4334323254666587,0.01974862813949585,0.01974862813949585
fixed_0.5,0.9017114455346018,0.9616107940673828,0.9920260737924015,0.9948720578989676,1.0,0.6617843508720398,0.39241145644077036,0.002585040405392647,0.002585040405392647
nocache,0.973999518668279,0.9680271148681641,0.9840171851363837,0.9935742085031648,1.0,0.6948822736740112,0.5683400909660399,0.03521765395998955,0.03521765395998955
