Video,subject_consistency,background_consistency,temporal_flickering,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality,temporal_style,overall_consistency
adaptive_0.0_0.4_f5l10,0.9669540296308696,0.9609088897705078,0.9871879026001575,0.9931070386668314,1.0,0.6353387236595154,0.4606817399254141,0.26146358251571655,0.26146358251571655
adaptive_0.1_0.4_f5l10,0.9694783198647201,0.9657936096191406,0.9881410841848336,0.993706208233587,1.0,0.6505540013313293,0.46279120009074837,0.2618791460990906,0.2618791460990906
adaptive_0.2_0.4_f5l10,0.9630698447581381,0.9677715301513672,0.9892947645748362,0.9940565647358438,1.0,0.6529285907745361,0.4528042481296746,0.25479578971862793,0.25479578971862793
adaptive_0.3_0.4_f5l10,0.9587006256915629,0.9688148498535156,0.98933526207419,0.99425021095183,1.0,0.669302761554718,0.4393446684253308,0.2621474862098694,0.2621474862098694
