Video,subject_consistency,background_consistency,temporal_flickering,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality,temporal_style,overall_consistency
fixed_0.1,0.771082024439238,0.9119606018066406,0.9739924393448175,0.9886605513476262,1.0,0.5032978057861328,0.62639202324919,0.35258370637893677,0.35258370637893677
fixed_0.2,0.7691401701886207,0.9061775207519531,0.9739992777506511,0.9894369288210715,1.0,0.498422771692276,0.5964752620135166,0.35188230872154236,0.35188230872154236
fixed_0.3,0.7673689868533984,0.9166698455810547,0.971242498884014,0.987851730868799,1.0,0.49387165904045105,0.6226318400774815,0.36386731266975403,0.36386731266975403
fixed_0.4,0.7731206767493859,0.8939857482910156,0.9699072557337144,0.9832187405510101,1.0,0.49147355556488037,0.6130631998343061,0.35131484270095825,0.35131484270095825
fixed_0.5,0.7709121704101562,0.9097061157226562,0.9834370669196634,0.9925558474808492,1.0,0.4896854758262634,0.5224961733263592,0.3686596751213074,0.3686596751213074
nocache,0.7714490734506398,0.9068202972412109,0.9722964155907724,0.9881416220874584,1.0,0.4907812774181366,0.649325188037961,0.34179553389549255,0.34179553389549255
