Video,subject_consistency,background_consistency,temporal_flickering,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality,temporal_style,overall_consistency
adaptive_0.0_0.5_f5l10,0.8946654079481959,0.9704914093017578,0.9930691237543143,0.9953232911689365,1.0,0.6317775845527649,0.47119352059770925,0.28437361121177673,0.28437361121177673
adaptive_0.1_0.5_f5l10,0.888159935362637,0.9682083129882812,0.9930011206982182,0.9952793672496381,1.0,0.6551598906517029,0.47058664602826733,0.2865842282772064,0.2865842282772064
adaptive_0.2_0.5_f5l10,0.8906548861414194,0.9805889129638672,0.9932898343778124,0.9951536554778736,1.0,0.6512021422386169,0.46485905846884085,0.29227137565612793,0.29227137565612793
adaptive_0.3_0.5_f5l10,0.9161018980666995,0.9784431457519531,0.992425553003947,0.9945077179475242,1.0,0.6532207131385803,0.455053658004879,0.29191315174102783,0.29191315174102783
adaptive_0.4_0.5_f5l10,0.9167593028396368,0.9741020202636719,0.9907151876711378,0.9935383525976964,1.0,0.6341546773910522,0.4668587804395099,0.2926342487335205,0.2926342487335205
